kns_committee_id,kns_session_id,protocol_object_name,protocol_extension,text_object_name,parts_object_name
196,271251,protocols/original/196/271251.doc,doc,protocols/parsed/196/271251.txt,protocols/parsed/196/271251.csv
935,2011579,protocols/original/935/2011579.doc,doc,protocols/parsed/935/2011579.txt,protocols/parsed/935/2011579.csv
200,138084,protocols/original/200/138084.doc,doc,protocols/parsed/200/138084.txt,protocols/parsed/200/138084.csv
200,256865,protocols/original/200/256865.doc,doc,protocols/parsed/200/256865.txt,protocols/parsed/200/256865.csv
653,328519,protocols/original/653/328519.doc,doc,protocols/parsed/653/328519.txt,protocols/parsed/653/328519.csv
861,483333,protocols/original/861/483333.doc,doc,protocols/parsed/861/483333.txt,protocols/parsed/861/483333.csv
659,326523,protocols/original/659/326523.doc,doc,protocols/parsed/659/326523.txt,protocols/parsed/659/326523.csv
191,300060,protocols/original/191/300060.doc,doc,protocols/parsed/191/300060.txt,protocols/parsed/191/300060.csv
659,336429,protocols/original/659/336429.doc,doc,protocols/parsed/659/336429.txt,protocols/parsed/659/336429.csv
195,143118,protocols/original/195/143118.doc,doc,protocols/parsed/195/143118.txt,protocols/parsed/195/143118.csv
200,299190,protocols/original/200/299190.doc,doc,protocols/parsed/200/299190.txt,protocols/parsed/200/299190.csv
654,421894,protocols/original/654/421894.doc,doc,protocols/parsed/654/421894.txt,protocols/parsed/654/421894.csv
922,576336,protocols/original/922/576336.doc,doc,protocols/parsed/922/576336.txt,protocols/parsed/922/576336.csv
196,294678,protocols/original/196/294678.doc,doc,protocols/parsed/196/294678.txt,protocols/parsed/196/294678.csv
927,573660,protocols/original/927/573660.doc,doc,protocols/parsed/927/573660.txt,protocols/parsed/927/573660.csv
935,2017817,protocols/original/935/2017817.doc,doc,protocols/parsed/935/2017817.txt,protocols/parsed/935/2017817.csv
653,420260,protocols/original/653/420260.doc,doc,protocols/parsed/653/420260.txt,protocols/parsed/653/420260.csv
196,277147,protocols/original/196/277147.doc,doc,protocols/parsed/196/277147.txt,protocols/parsed/196/277147.csv
660,323909,protocols/original/660/323909.doc,doc,protocols/parsed/660/323909.txt,protocols/parsed/660/323909.csv
653,433910,protocols/original/653/433910.doc,doc,protocols/parsed/653/433910.txt,protocols/parsed/653/433910.csv
653,430165,protocols/original/653/430165.doc,doc,protocols/parsed/653/430165.txt,protocols/parsed/653/430165.csv
660,471158,protocols/original/660/471158.doc,doc,protocols/parsed/660/471158.txt,protocols/parsed/660/471158.csv
654,334142,protocols/original/654/334142.doc,doc,protocols/parsed/654/334142.txt,protocols/parsed/654/334142.csv
200,249350,protocols/original/200/249350.doc,doc,protocols/parsed/200/249350.txt,protocols/parsed/200/249350.csv
653,327705,protocols/original/653/327705.doc,doc,protocols/parsed/653/327705.txt,protocols/parsed/653/327705.csv
196,292502,protocols/original/196/292502.doc,doc,protocols/parsed/196/292502.txt,protocols/parsed/196/292502.csv
951,2018950,protocols/original/951/2018950.doc,doc,protocols/parsed/951/2018950.txt,protocols/parsed/951/2018950.csv
654,334525,protocols/original/654/334525.doc,doc,protocols/parsed/654/334525.txt,protocols/parsed/654/334525.csv
656,335150,protocols/original/656/335150.doc,doc,protocols/parsed/656/335150.txt,protocols/parsed/656/335150.csv
657,423236,protocols/original/657/423236.doc,doc,protocols/parsed/657/423236.txt,protocols/parsed/657/423236.csv
660,471254,protocols/original/660/471254.doc,doc,protocols/parsed/660/471254.txt,protocols/parsed/660/471254.csv
660,429051,protocols/original/660/429051.doc,doc,protocols/parsed/660/429051.txt,protocols/parsed/660/429051.csv
659,431453,protocols/original/659/431453.doc,doc,protocols/parsed/659/431453.txt,protocols/parsed/659/431453.csv
202,183973,protocols/original/202/183973.doc,doc,protocols/parsed/202/183973.txt,protocols/parsed/202/183973.csv
201,297488,protocols/original/201/297488.doc,doc,protocols/parsed/201/297488.txt,protocols/parsed/201/297488.csv
195,297517,protocols/original/195/297517.doc,doc,protocols/parsed/195/297517.txt,protocols/parsed/195/297517.csv
659,323104,protocols/original/659/323104.doc,doc,protocols/parsed/659/323104.txt,protocols/parsed/659/323104.csv
198,299823,protocols/original/198/299823.doc,doc,protocols/parsed/198/299823.txt,protocols/parsed/198/299823.csv
657,470476,protocols/original/657/470476.doc,doc,protocols/parsed/657/470476.txt,protocols/parsed/657/470476.csv
652,422462,protocols/original/652/422462.doc,doc,protocols/parsed/652/422462.txt,protocols/parsed/652/422462.csv
659,367869,protocols/original/659/367869.doc,doc,protocols/parsed/659/367869.txt,protocols/parsed/659/367869.csv
35,78119,protocols/original/35/78119.docx,docx,protocols/parsed/35/78119.txt,protocols/parsed/35/78119.csv
670,327181,protocols/original/670/327181.doc,doc,protocols/parsed/670/327181.txt,protocols/parsed/670/327181.csv
200,146435,protocols/original/200/146435.doc,doc,protocols/parsed/200/146435.txt,protocols/parsed/200/146435.csv
231,146458,protocols/original/231/146458.doc,doc,protocols/parsed/231/146458.txt,protocols/parsed/231/146458.csv
657,328801,protocols/original/657/328801.doc,doc,protocols/parsed/657/328801.txt,protocols/parsed/657/328801.csv
660,342866,protocols/original/660/342866.doc,doc,protocols/parsed/660/342866.txt,protocols/parsed/660/342866.csv
23,127996,protocols/original/23/127996.doc,doc,protocols/parsed/23/127996.txt,protocols/parsed/23/127996.csv
198,276489,protocols/original/198/276489.doc,doc,protocols/parsed/198/276489.txt,protocols/parsed/198/276489.csv
855,560904,protocols/original/855/560904.doc,doc,protocols/parsed/855/560904.txt,protocols/parsed/855/560904.csv
660,434325,protocols/original/660/434325.doc,doc,protocols/parsed/660/434325.txt,protocols/parsed/660/434325.csv
1012,2016888,protocols/original/1012/2016888.doc,doc,protocols/parsed/1012/2016888.txt,protocols/parsed/1012/2016888.csv
203,295400,protocols/original/203/295400.doc,doc,protocols/parsed/203/295400.txt,protocols/parsed/203/295400.csv
657,420602,protocols/original/657/420602.doc,doc,protocols/parsed/657/420602.txt,protocols/parsed/657/420602.csv
654,470985,protocols/original/654/470985.doc,doc,protocols/parsed/654/470985.txt,protocols/parsed/654/470985.csv
653,411714,protocols/original/653/411714.doc,doc,protocols/parsed/653/411714.txt,protocols/parsed/653/411714.csv
222,250593,protocols/original/222/250593.doc,doc,protocols/parsed/222/250593.txt,protocols/parsed/222/250593.csv
199,139491,protocols/original/199/139491.doc,doc,protocols/parsed/199/139491.txt,protocols/parsed/199/139491.csv
654,433532,protocols/original/654/433532.doc,doc,protocols/parsed/654/433532.txt,protocols/parsed/654/433532.csv
858,485518,protocols/original/858/485518.doc,doc,protocols/parsed/858/485518.txt,protocols/parsed/858/485518.csv
200,283591,protocols/original/200/283591.doc,doc,protocols/parsed/200/283591.txt,protocols/parsed/200/283591.csv
658,396170,protocols/original/658/396170.doc,doc,protocols/parsed/658/396170.txt,protocols/parsed/658/396170.csv
195,139753,protocols/original/195/139753.doc,doc,protocols/parsed/195/139753.txt,protocols/parsed/195/139753.csv
196,146479,protocols/original/196/146479.doc,doc,protocols/parsed/196/146479.txt,protocols/parsed/196/146479.csv
191,305253,protocols/original/191/305253.doc,doc,protocols/parsed/191/305253.txt,protocols/parsed/191/305253.csv
928,2016042,protocols/original/928/2016042.doc,doc,protocols/parsed/928/2016042.txt,protocols/parsed/928/2016042.csv
836,432919,protocols/original/836/432919.doc,doc,protocols/parsed/836/432919.txt,protocols/parsed/836/432919.csv
656,358978,protocols/original/656/358978.doc,doc,protocols/parsed/656/358978.txt,protocols/parsed/656/358978.csv
200,177252,protocols/original/200/177252.doc,doc,protocols/parsed/200/177252.txt,protocols/parsed/200/177252.csv
196,257347,protocols/original/196/257347.doc,doc,protocols/parsed/196/257347.txt,protocols/parsed/196/257347.csv
190,251039,protocols/original/190/251039.doc,doc,protocols/parsed/190/251039.txt,protocols/parsed/190/251039.csv
195,305496,protocols/original/195/305496.doc,doc,protocols/parsed/195/305496.txt,protocols/parsed/195/305496.csv
693,431112,protocols/original/693/431112.doc,doc,protocols/parsed/693/431112.txt,protocols/parsed/693/431112.csv
190,276369,protocols/original/190/276369.doc,doc,protocols/parsed/190/276369.txt,protocols/parsed/190/276369.csv
683,345532,protocols/original/683/345532.doc,doc,protocols/parsed/683/345532.txt,protocols/parsed/683/345532.csv
214,288971,protocols/original/214/288971.doc,doc,protocols/parsed/214/288971.txt,protocols/parsed/214/288971.csv
656,434769,protocols/original/656/434769.doc,doc,protocols/parsed/656/434769.txt,protocols/parsed/656/434769.csv
191,251181,protocols/original/191/251181.doc,doc,protocols/parsed/191/251181.txt,protocols/parsed/191/251181.csv
685,365996,protocols/original/685/365996.doc,doc,protocols/parsed/685/365996.txt,protocols/parsed/685/365996.csv
706,347091,protocols/original/706/347091.doc,doc,protocols/parsed/706/347091.txt,protocols/parsed/706/347091.csv
931,574901,protocols/original/931/574901.doc,doc,protocols/parsed/931/574901.txt,protocols/parsed/931/574901.csv
194,264694,protocols/original/194/264694.doc,doc,protocols/parsed/194/264694.txt,protocols/parsed/194/264694.csv
935,575113,protocols/original/935/575113.doc,doc,protocols/parsed/935/575113.txt,protocols/parsed/935/575113.csv
190,146627,protocols/original/190/146627.doc,doc,protocols/parsed/190/146627.txt,protocols/parsed/190/146627.csv
659,409561,protocols/original/659/409561.doc,doc,protocols/parsed/659/409561.txt,protocols/parsed/659/409561.csv
926,574861,protocols/original/926/574861.doc,doc,protocols/parsed/926/574861.txt,protocols/parsed/926/574861.csv
846,554939,protocols/original/846/554939.doc,doc,protocols/parsed/846/554939.txt,protocols/parsed/846/554939.csv
659,431467,protocols/original/659/431467.doc,doc,protocols/parsed/659/431467.txt,protocols/parsed/659/431467.csv
203,252505,protocols/original/203/252505.doc,doc,protocols/parsed/203/252505.txt,protocols/parsed/203/252505.csv
656,365851,protocols/original/656/365851.doc,doc,protocols/parsed/656/365851.txt,protocols/parsed/656/365851.csv
434,309975,protocols/original/434/309975.doc,doc,protocols/parsed/434/309975.txt,protocols/parsed/434/309975.csv
196,146738,protocols/original/196/146738.doc,doc,protocols/parsed/196/146738.txt,protocols/parsed/196/146738.csv
191,313592,protocols/original/191/313592.doc,doc,protocols/parsed/191/313592.txt,protocols/parsed/191/313592.csv
932,2014952,protocols/original/932/2014952.doc,doc,protocols/parsed/932/2014952.txt,protocols/parsed/932/2014952.csv
926,2009965,protocols/original/926/2009965.doc,doc,protocols/parsed/926/2009965.txt,protocols/parsed/926/2009965.csv
858,554506,protocols/original/858/554506.doc,doc,protocols/parsed/858/554506.txt,protocols/parsed/858/554506.csv
200,307936,protocols/original/200/307936.doc,doc,protocols/parsed/200/307936.txt,protocols/parsed/200/307936.csv
653,415661,protocols/original/653/415661.doc,doc,protocols/parsed/653/415661.txt,protocols/parsed/653/415661.csv
937,2015245,protocols/original/937/2015245.doc,doc,protocols/parsed/937/2015245.txt,protocols/parsed/937/2015245.csv
848,554883,protocols/original/848/554883.doc,doc,protocols/parsed/848/554883.txt,protocols/parsed/848/554883.csv
656,324127,protocols/original/656/324127.doc,doc,protocols/parsed/656/324127.txt,protocols/parsed/656/324127.csv
659,367889,protocols/original/659/367889.doc,doc,protocols/parsed/659/367889.txt,protocols/parsed/659/367889.csv
